ts_code,code,name,area,industry,list_status,list_date,is_hs
300001.SZ,300001,特锐德,山东,电气设备,L,20091030,S
300002.SZ,300002,神州泰岳,北京,互联网,L,20091030,S
300003.SZ,300003,乐普医疗,北京,医疗保健,L,20091030,S
300004.SZ,300004,南风股份,广东,电气设备,L,20091030,N
300005.SZ,300005,探路者,北京,服饰,L,20091030,S
300006.SZ,300006,莱美药业,重庆,化学制药,L,20091030,N
300007.SZ,300007,汉威科技,河南,电器仪表,L,20091030,S
300008.SZ,300008,天海防务,上海,船舶,L,20091030,S
300009.SZ,300009,安科生物,安徽,生物制药,L,20091030,S
300010.SZ,300010,豆神教育,北京,软件服务,L,20091030,N
300011.SZ,300011,鼎汉技术,北京,运输设备,L,20091030,N
300012.SZ,300012,华测检测,深圳,电器仪表,L,20091030,S
300013.SZ,300013,新宁物流,河南,仓储物流,L,20091030,N
300014.SZ,300014,亿纬锂能,广东,电气设备,L,20091030,S
300015.SZ,300015,爱尔眼科,湖南,医疗保健,L,20091030,S
300016.SZ,300016,北陆药业,北京,化学制药,L,20091030,N
300017.SZ,300017,网宿科技,上海,软件服务,L,20091030,S
300018.SZ,300018,中元股份,湖北,电气设备,L,20091030,N
300019.SZ,300019,硅宝科技,四川,化工原料,L,20091030,S
300020.SZ,300020,银江技术,浙江,软件服务,L,20091030,N
300021.SZ,300021,大禹节水,甘肃,农业综合,L,20091030,N
300022.SZ,300022,吉峰科技,四川,农用机械,L,20091030,N
300024.SZ,300024,机器人,辽宁,专用机械,L,20091030,S
300025.SZ,300025,华星创业,浙江,通信设备,L,20091030,N
300026.SZ,300026,红日药业,天津,中成药,L,20091030,S
300027.SZ,300027,华谊兄弟,浙江,影视音像,L,20091030,S
300029.SZ,300029,ST天龙,江苏,电气设备,L,20091225,N
300030.SZ,300030,阳普医疗,广东,医疗保健,L,20091225,N
300031.SZ,300031,宝通科技,江苏,互联网,L,20091225,S
300032.SZ,300032,金龙机电,浙江,元器件,L,20091225,N
300033.SZ,300033,同花顺,浙江,软件服务,L,20091225,S
300034.SZ,300034,钢研高纳,北京,航空,L,20091225,S
300035.SZ,300035,中科电气,湖南,电气设备,L,20091225,S
300036.SZ,300036,超图软件,北京,软件服务,L,20091225,S
300037.SZ,300037,新宙邦,深圳,化工原料,L,20100108,S
300039.SZ,300039,上海凯宝,上海,中成药,L,20100108,S
300040.SZ,300040,九洲集团,黑龙江,电气设备,L,20100108,N
300041.SZ,300041,回天新材,湖北,化工原料,L,20100108,S
300042.SZ,300042,朗科科技,深圳,IT设备,L,20100108,N
300043.SZ,300043,星辉娱乐,广东,文教休闲,L,20100120,N
