Date,IndexCode,IndexName,Code,Name,Weigh
2021/2/26,300,沪深300,600000,浦发银行,0.62
2021/2/26,300,沪深300,600004,白云机场,0.08
2021/2/26,300,沪深300,600009,上海机场,0.3
2021/2/26,300,沪深300,600010,包钢股份,0.18
2021/2/26,300,沪深300,600011,华能国际,0.09
2021/2/26,300,沪深300,600015,华夏银行,0.19
2021/2/26,300,沪深300,600016,民生银行,0.55
2021/2/26,300,沪深300,600018,上港集团,0.08
2021/2/26,300,沪深300,600019,宝钢股份,0.33
2021/2/26,300,沪深300,600025,华能水电,0.04
2021/2/26,300,沪深300,600027,华电国际,0.05
2021/2/26,300,沪深300,600028,中国石化,0.3
2021/2/26,300,沪深300,600029,南方航空,0.13
2021/2/26,300,沪深300,600030,中信证券,1.16
2021/2/26,300,沪深300,600031,三一重工,1.21
2021/2/26,300,沪深300,600036,招商银行,3.15
2021/2/26,300,沪深300,600048,保利地产,0.56
2021/2/26,300,沪深300,600050,中国联通,0.2
2021/2/26,300,沪深300,600061,国投资本,0.1
2021/2/26,300,沪深300,600066,宇通客车,0.1
2021/2/26,300,沪深300,600068,葛洲坝,0.09
2021/2/26,300,沪深300,600085,同仁堂,0.07
2021/2/26,300,沪深300,600104,上汽集团,0.37
2021/2/26,300,沪深300,600109,国金证券,0.16
2021/2/26,300,沪深300,600111,北方稀土,0.22
2021/2/26,300,沪深300,600115,东方航空,0.11
2021/2/26,300,沪深300,600118,中国卫星,0.09
2021/2/26,300,沪深300,600150,中国船舶,0.05
2021/2/26,300,沪深300,600161,天坛生物,0.11
2021/2/26,300,沪深300,600176,中国巨石,0.24
2021/2/26,300,沪深300,600177,雅戈尔,0.11
2021/2/26,300,沪深300,600183,生益科技,0.14
2021/2/26,300,沪深300,600196,复星医药,0.28
2021/2/26,300,沪深300,600208,新湖中宝,0.07
2021/2/26,300,沪深300,600233,圆通速递,0.07
2021/2/26,300,沪深300,600271,航天信息,0.06
2021/2/26,300,沪深300,600276,恒瑞医药,1.89
2021/2/26,300,沪深300,600297,广汇汽车,0.05
2021/2/26,300,沪深300,600299,安迪苏,0.02
2021/2/26,300,沪深300,600309,万华化学,1.02
2021/2/26,300,沪深300,600332,白云山,0.08
2021/2/26,300,沪深300,600340,华夏幸福,0.07
2021/2/26,300,沪深300,600346,恒力石化,0.38
2021/2/26,300,沪深300,600352,浙江龙盛,0.21
2021/2/26,300,沪深300,600362,江西铜业,0.14
2021/2/26,300,沪深300,600369,西南证券,0.08
2021/2/26,300,沪深300,600383,金地集团,0.14
2021/2/26,300,沪深300,600390,五矿资本,0.07
2021/2/26,300,沪深300,600406,国电南瑞,0.33
2021/2/26,300,沪深300,600436,片仔癀,0.45
2021/2/26,300,沪深300,600438,通威股份,0.63
2021/2/26,300,沪深300,600482,中国动力,0.06
2021/2/26,300,沪深300,600487,亨通光电,0.09
2021/2/26,300,沪深300,600489,中金黄金,0.09
2021/2/26,300,沪深300,600498,烽火通信,0.07
2021/2/26,300,沪深300,600519,贵州茅台,5.31
2021/2/26,300,沪深300,600522,中天科技,0.13
2021/2/26,300,沪深300,600547,山东黄金,0.2
2021/2/26,300,沪深300,600570,恒生电子,0.36
2021/2/26,300,沪深300,600584,长电科技,0.22
2021/2/26,300,沪深300,600585,海螺水泥,0.64
2021/2/26,300,沪深300,600588,用友网络,0.3
2021/2/26,300,沪深300,600600,青岛啤酒,0.14
2021/2/26,300,沪深300,600606,绿地控股,0.1
2021/2/26,300,沪深300,600637,东方明珠,0.09
2021/2/26,300,沪深300,600655,豫园股份,0.08
2021/2/26,300,沪深300,600660,福耀玻璃,0.33
2021/2/26,300,沪深300,600690,海尔智家,0.55
2021/2/26,300,沪深300,600703,三安光电,0.33
2021/2/26,300,沪深300,600705,中航资本,0.11
2021/2/26,300,沪深300,600741,华域汽车,0.2
2021/2/26,300,沪深300,600745,闻泰科技,0.25
2021/2/26,300,沪深300,600760,中航沈飞,0.17
2021/2/26,300,沪深300,600763,通策医疗,0.3
2021/2/26,300,沪深300,600795,国电电力,0.12
2021/2/26,300,沪深300,600809,山西汾酒,0.54
2021/2/26,300,沪深300,600837,海通证券,0.47
2021/2/26,300,沪深300,600845,宝信软件,0.07
2021/2/26,300,沪深300,600848,上海临港,0.06
2021/2/26,300,沪深300,600872,中炬高新,0.14
2021/2/26,300,沪深300,600886,国投电力,0.12
2021/2/26,300,沪深300,600887,伊利股份,1.31
2021/2/26,300,沪深300,600893,航发动力,0.32
2021/2/26,300,沪深300,600900,长江电力,0.89
2021/2/26,300,沪深300,600918,中泰证券,0.05
2021/2/26,300,沪深300,600919,江苏银行,0.34
2021/2/26,300,沪深300,600926,杭州银行,0.24
2021/2/26,300,沪深300,600958,东方证券,0.2
2021/2/26,300,沪深300,600989,宝丰能源,0.06
2021/2/26,300,沪深300,600998,九州通,0.06
2021/2/26,300,沪深300,600999,招商证券,0.4
2021/2/26,300,沪深300,601006,大秦铁路,0.19
2021/2/26,300,沪深300,601009,南京银行,0.26
2021/2/26,300,沪深300,601012,隆基股份,1.37
2021/2/26,300,沪深300,601021,春秋航空,0.11
2021/2/26,300,沪深300,601066,中信建投,0.17
2021/2/26,300,沪深300,601077,渝农商行,0.04
2021/2/26,300,沪深300,601088,中国神华,0.29
2021/2/26,300,沪深300,601100,恒立液压,0.19
2021/2/26,300,沪深300,601108,财通证券,0.14
2021/2/26,300,沪深300,601111,中国国航,0.12
2021/2/26,300,沪深300,601117,中国化学,0.08
2021/2/26,300,沪深300,601138,工业富联,0.14
2021/2/26,300,沪深300,601155,新城控股,0.23
2021/2/26,300,沪深300,601162,天风证券,0.09
2021/2/26,300,沪深300,601166,兴业银行,1.79
2021/2/26,300,沪深300,601169,北京银行,0.35
2021/2/26,300,沪深300,601186,中国铁建,0.18
2021/2/26,300,沪深300,601198,东兴证券,0.08
2021/2/26,300,沪深300,601211,国泰君安,0.37
2021/2/26,300,沪深300,601216,君正集团,0.1
2021/2/26,300,沪深300,601225,陕西煤业,0.21
2021/2/26,300,沪深300,601229,上海银行,0.42
2021/2/26,300,沪深300,601231,环旭电子,0.07
2021/2/26,300,沪深300,601236,红塔证券,0.05
2021/2/26,300,沪深300,601238,广汽集团,0.05
2021/2/26,300,沪深300,601288,农业银行,0.47
2021/2/26,300,沪深300,601318,中国平安,4.59
2021/2/26,300,沪深300,601319,中国人保,0.07
2021/2/26,300,沪深300,601328,交通银行,0.63
2021/2/26,300,沪深300,601336,新华保险,0.22
2021/2/26,300,沪深300,601360,三六零,0.17
2021/2/26,300,沪深300,601377,兴业证券,0.24
2021/2/26,300,沪深300,601390,中国中铁,0.29
2021/2/26,300,沪深300,601398,工商银行,0.94
2021/2/26,300,沪深300,601555,东吴证券,0.13
2021/2/26,300,沪深300,601577,长沙银行,0.05
2021/2/26,300,沪深300,601600,中国铝业,0.14
2021/2/26,300,沪深300,601601,中国太保,0.75
2021/2/26,300,沪深300,601607,上海医药,0.12
2021/2/26,300,沪深300,601618,中国中冶,0.12
2021/2/26,300,沪深300,601628,中国人寿,0.28
2021/2/26,300,沪深300,601633,长城汽车,0.19
2021/2/26,300,沪深300,601658,邮储银行,0.1
2021/2/26,300,沪深300,601668,中国建筑,0.53
2021/2/26,300,沪深300,601669,中国电建,0.15
2021/2/26,300,沪深300,601688,华泰证券,0.5
2021/2/26,300,沪深300,601696,中银证券,0.03
2021/2/26,300,沪深300,601698,中国卫通,0.04
2021/2/26,300,沪深300,601727,上海电气,0.1
2021/2/26,300,沪深300,601766,中国中车,0.42
2021/2/26,300,沪深300,601788,光大证券,0.15
2021/2/26,300,沪深300,601800,中国交建,0.12
2021/2/26,300,沪深300,601808,中海油服,0.05
2021/2/26,300,沪深300,601816,京沪高铁,0.1
2021/2/26,300,沪深300,601818,光大银行,0.33
2021/2/26,300,沪深300,601838,成都银行,0.12
2021/2/26,300,沪深300,601857,中国石油,0.21
2021/2/26,300,沪深300,601872,招商轮船,0.05
2021/2/26,300,沪深300,601877,正泰电器,0.18
2021/2/26,300,沪深300,601878,浙商证券,0.11
2021/2/26,300,沪深300,601881,中国银河,0.07
2021/2/26,300,沪深300,601888,中国中免,1.5
2021/2/26,300,沪深300,601899,紫金矿业,0.83
2021/2/26,300,沪深300,601901,方正证券,0.18
2021/2/26,300,沪深300,601916,浙商银行,0.07
2021/2/26,300,沪深300,601919,中远海控,0.3
2021/2/26,300,沪深300,601933,永辉超市,0.14
2021/2/26,300,沪深300,601939,建设银行,0.24
2021/2/26,300,沪深300,601985,中国核电,0.14
2021/2/26,300,沪深300,601988,中国银行,0.34
2021/2/26,300,沪深300,601989,中国重工,0.19
