l1code,l1name,l2code,l2name,l3code,l3name,code,name,area,market,exchange,list_status,list_date,is_hs
801980.SI,美容护理,801981.SI,个护用品,,,000523,广州浪奇,广东,主板,SZSE,L,19931108,S
801980.SI,美容护理,,,,,000615,奥园美谷,湖北,主板,SZSE,L,19961016,S
801980.SI,美容护理,801981.SI,个护用品,859811.SI,生活用纸,001206,依依股份,天津,主板,SZSE,L,20210518,N
801980.SI,美容护理,801981.SI,个护用品,,,001328,登康口腔,重庆,主板,SZSE,L,20230410,N
801980.SI,美容护理,801982.SI,化妆品,859821.SI,化妆品制造及其他,002094,青岛金王,山东,中小板,SZSE,L,20061215,N
801980.SI,美容护理,801982.SI,化妆品,859821.SI,化妆品制造及其他,002243,力合科创,深圳,中小板,SZSE,L,20080528,S
801980.SI,美容护理,801981.SI,个护用品,859811.SI,生活用纸,002511,中顺洁柔,广东,中小板,SZSE,L,20101125,S
801980.SI,美容护理,801981.SI,个护用品,,,002919,名臣健康,广东,中小板,SZSE,L,20171218,S
801980.SI,美容护理,801981.SI,个护用品,859811.SI,生活用纸,003006,百亚股份,重庆,主板,SZSE,L,20200921,S
801980.SI,美容护理,801982.SI,化妆品,859821.SI,化妆品制造及其他,300132,青松股份,福建,创业板,SZSE,L,20101026,N
801980.SI,美容护理,801981.SI,个护用品,859811.SI,生活用纸,300658,延江股份,福建,创业板,SZSE,L,20170602,N
801980.SI,美容护理,801982.SI,化妆品,859822.SI,品牌化妆品,300740,水羊股份,湖南,创业板,SZSE,L,20180208,S
801980.SI,美容护理,801982.SI,化妆品,859821.SI,化妆品制造及其他,300849,锦盛新材,浙江,创业板,SZSE,L,20200710,N
801980.SI,美容护理,801982.SI,化妆品,859821.SI,化妆品制造及其他,300856,科思股份,江苏,创业板,SZSE,L,20200722,S
801980.SI,美容护理,801982.SI,化妆品,859821.SI,化妆品制造及其他,300886,华业香料,安徽,创业板,SZSE,L,20200916,N
801980.SI,美容护理,801981.SI,个护用品,859811.SI,生活用纸,300888,稳健医疗,深圳,创业板,SZSE,L,20200917,S
801980.SI,美容护理,,,,,300896,爱美客,北京,创业板,SZSE,L,20200928,S
801980.SI,美容护理,801982.SI,化妆品,859821.SI,化妆品制造及其他,300955,嘉亨家化,福建,创业板,SZSE,L,20210324,N
801980.SI,美容护理,801982.SI,化妆品,859822.SI,品牌化妆品,300957,贝泰妮,云南,创业板,SZSE,L,20210325,S
801980.SI,美容护理,801981.SI,个护用品,859811.SI,生活用纸,301009,可靠股份,浙江,创业板,SZSE,L,20210617,N
801980.SI,美容护理,801981.SI,个护用品,859811.SI,生活用纸,301108,洁雅股份,安徽,创业板,SZSE,L,20211203,N
801980.SI,美容护理,801981.SI,个护用品,,,600249,两面针,广西,主板,SSE,L,20040130,N
801980.SI,美容护理,801982.SI,化妆品,859822.SI,品牌化妆品,600315,上海家化,上海,主板,SSE,L,20010315,H
801980.SI,美容护理,801981.SI,个护用品,,,603059,倍加洁,江苏,主板,SSE,L,20180302,N
801980.SI,美容护理,801981.SI,个护用品,859811.SI,生活用纸,603238,诺邦股份,浙江,主板,SSE,L,20170222,N
801980.SI,美容护理,801982.SI,化妆品,859822.SI,品牌化妆品,603605,珀莱雅,浙江,主板,SSE,L,20171115,H
801980.SI,美容护理,801982.SI,化妆品,859822.SI,品牌化妆品,603630,拉芳家化,广东,主板,SSE,L,20170313,N
801980.SI,美容护理,801982.SI,化妆品,859822.SI,品牌化妆品,603983,丸美股份,广东,主板,SSE,L,20190725,H
801980.SI,美容护理,801981.SI,个护用品,859811.SI,生活用纸,605009,豪悦护理,浙江,主板,SSE,L,20200911,H
801970.SI,环保,801971.SI,环境治理,859714.SI,综合环境治理,000005,ST星源,深圳,主板,SZSE,L,19901210,N
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,000035,中国天楹,江苏,主板,SZSE,L,19940408,S
801970.SI,环保,801971.SI,环境治理,859714.SI,综合环境治理,000068,华控赛格,深圳,主板,SZSE,L,19970611,N
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,000544,中原环保,河南,主板,SZSE,L,19931208,S
801970.SI,环保,801972.SI,环保设备Ⅱ,859721.SI,环保设备Ⅲ,000551,创元科技,江苏,主板,SZSE,L,19940106,N
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,000598,兴蓉环境,四川,主板,SZSE,L,19960529,S
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,000605,渤海股份,北京,主板,SZSE,L,19960913,N
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,000685,中山公用,广东,主板,SZSE,L,19970123,S
801970.SI,环保,801971.SI,环境治理,859714.SI,综合环境治理,000711,京蓝科技,黑龙江,主板,SZSE,L,19970411,N
